record_id,Inspector_id,inspector_name,municipality_id,municipality_name,source_of_pollution,latitude,longitude,record_created_at,record_assigned_at,In_progress_created_at,record_closed_at,record_status,resolution_type,level_of_pollution,type,value
24,5,Michael Moore,1,Karposh,household,42.01141214053453,21.40665896301732,2023-10-06 05:56:22,2023-10-17 09:24:44,2023-10-21 07:23:38,,in_progress,,Low,pm10,21.0
25,1,John Doe,1,Karposh,other,42.00678118247077,21.41311793843215,2023-10-17 19:24:07,2023-10-22 07:23:37,2023-10-25 02:33:57,2023-10-26 01:57:27,completed,other,Low,pm10,8.0
26,5,Michael Moore,2,Aerodrom,factory,41.98799721476939,21.45612929277583,2023-09-03 05:11:00,2023-10-01 10:38:51,2023-10-02 14:44:11,2023-10-14 00:08:33,completed,declined,Low,pm10,14.0
27,5,Michael Moore,5,Kapishtec,other,41.96888158291241,21.487393113729325,2023-09-27 07:11:06,2023-10-08 10:37:50,2023-10-19 22:24:41,2023-10-24 04:15:25,completed,declined,Low,pm10,12.0
28,5,Michael Moore,1,Karposh,factory,41.99553922257581,21.40793074745511,2023-10-14 01:47:32,2023-10-25 02:53:29,,,pending,,Low,pm10,20.0
29,5,Michael Moore,2,Aerodrom,household,41.99746015852657,21.45153413158407,2023-08-06 17:03:24,2023-10-03 09:52:30,,,pending,,Low,pm10,11.0
30,3,Charlie Johnson,4,Gjorche,factory,41.9994619019977,21.394997846257173,2023-08-06 16:59:42,2023-10-10 15:45:08,2023-10-16 18:29:13,2023-10-21 08:23:44,completed,other,Low,pm10,11.0
31,2,Alice Doe,3,Centar,other,41.99492129450673,21.42540211160052,2023-09-08 00:23:34,2023-09-16 17:28:32,2023-10-20 12:12:10,2023-10-28 19:13:44,completed,declined,Low,pm10,11.0
32,4,Bob Williams,3,Centar,household,41.98797178741427,21.43070038212895,2023-08-23 20:31:56,2023-09-20 17:31:44,,,pending,,Low,pm10,12.0
33,2,Alice Doe,5,Kapishtec,household,41.967230157391725,21.49387759647736,2023-10-13 16:43:07,2023-10-28 18:40:25,,,pending,,Low,pm10,12.0
34,3,Charlie Johnson,4,Gjorche,household,42.00222237661888,21.403757013715108,2023-09-24 15:07:21,2023-10-18 03:19:46,2023-10-28 12:25:03,2023-10-28 19:53:17,completed,declined,Low,pm10,12.0
35,3,Charlie Johnson,3,Centar,household,41.9970409215114,21.43275760166643,2023-08-02 21:17:56,2023-10-25 17:19:52,2023-10-25 20:42:46,,in_progress,,Low,pm10,11.0
36,1,John Doe,1,Karposh,other,42.0011068058084,21.409549943203213,2023-10-24 13:09:57,2023-10-24 17:32:22,,,pending,,Low,pm10,15.0
37,2,Alice Doe,5,Kapishtec,factory,41.979701451897775,21.486759317476995,2023-10-02 19:18:29,2023-10-25 09:18:45,,,pending,,Low,pm10,11.0
38,4,Bob Williams,4,Gjorche,factory,42.0033255330536,21.3971655290544,2023-08-08 00:43:07,2023-09-30 22:56:43,2023-10-07 10:03:48,2023-10-20 08:03:18,completed,fine,Low,pm10,13.0
39,2,Alice Doe,1,Karposh,household,41.99920892689295,21.406866205454207,2023-09-18 02:36:43,2023-10-21 09:36:24,,,pending,,Low,pm10,5.0
40,3,Charlie Johnson,5,Kapishtec,household,41.97684778328447,21.49774867078185,2023-10-13 18:18:39,2023-10-21 17:22:35,2023-10-25 14:58:01,2023-10-27 12:51:28,completed,declined,Low,pm10,12.0
41,5,Michael Moore,5,Kapishtec,household,41.97981441015665,21.484177585455456,2023-09-17 15:23:17,2023-09-18 23:42:35,2023-10-08 07:41:43,2023-10-22 12:56:56,completed,warning,Low,pm10,16.0
42,4,Bob Williams,2,Aerodrom,factory,41.994986221801256,21.45159365483216,2023-08-25 02:12:29,2023-09-16 15:38:13,2023-10-08 22:46:41,,in_progress,,Low,pm10,8.0
43,3,Charlie Johnson,2,Aerodrom,household,41.99487683117384,21.449283117138187,2023-08-23 20:21:01,2023-09-16 16:38:19,2023-09-17 07:18:09,2023-10-10 22:12:36,completed,warning,Low,pm10,10.0
44,4,Bob Williams,4,Gjorche,factory,41.99826363989171,21.40646219182072,2023-08-02 13:52:10,2023-10-19 08:51:53,,,pending,,Low,pm10,13.0
45,1,John Doe,3,Centar,other,41.98639135829196,21.430082086626992,2023-08-24 14:59:14,2023-09-20 10:04:35,2023-10-25 01:09:04,,in_progress,,Low,pm10,12.0
46,5,Michael Moore,4,Gjorche,household,41.99870070958055,21.401447459991843,2023-10-03 10:24:15,2023-10-18 23:16:18,2023-10-25 02:25:58,2023-10-28 08:02:32,completed,fine,Low,pm10,5.0
47,2,Alice Doe,2,Aerodrom,household,41.99787272308853,21.44541958099455,2023-09-25 21:53:21,2023-10-18 16:42:28,2023-10-21 18:28:06,2023-10-22 01:07:04,completed,other,Low,pm10,11.0
48,1,John Doe,1,Karposh,household,41.99741277612038,21.407588901660844,2023-10-03 19:23:21,2023-10-07 19:40:30,2023-10-18 23:28:14,,in_progress,,Low,pm10,11.0
49,3,Charlie Johnson,5,Kapishtec,household,41.9773798380713,21.490859621789895,2023-10-11 14:55:29,2023-10-21 04:03:59,2023-10-26 07:49:26,,in_progress,,Low,pm10,9.0
50,2,Alice Doe,4,Gjorche,factory,42.00443456613565,21.401190594658324,2023-08-19 01:33:54,2023-09-15 05:39:53,2023-09-17 16:34:11,2023-10-27 22:43:37,completed,fine,Low,pm10,0.0
51,3,Charlie Johnson,1,Karposh,other,41.99850551652505,21.412770921835207,2023-08-28 17:14:07,2023-09-26 04:05:32,2023-10-25 17:26:23,2023-10-28 07:41:28,completed,declined,Low,pm10,19.0
52,4,Bob Williams,1,Karposh,household,42.00475113270702,21.411402103265196,2023-08-20 12:48:06,2023-09-28 03:22:32,2023-10-02 16:17:39,,in_progress,,Low,pm10,18.0
53,1,John Doe,3,Centar,other,41.99156479691198,21.42283514710835,2023-08-29 17:02:04,2023-10-11 04:24:56,2023-10-14 16:20:24,,in_progress,,Low,pm10,12.0
54,4,Bob Williams,4,Gjorche,other,42.0065778907918,21.394768209665283,2023-08-21 06:09:46,2023-10-23 08:16:19,2023-10-27 08:32:28,,in_progress,,Low,pm10,14.0
55,5,Michael Moore,5,Kapishtec,household,41.97545587217892,21.49344364625484,2023-09-01 17:26:17,2023-10-02 21:10:37,2023-10-02 22:40:03,2023-10-14 10:50:22,completed,other,Low,pm10,26.0
56,4,Bob Williams,3,Centar,other,41.99018850454535,21.422603224154237,2023-10-16 05:00:43,2023-10-21 10:27:29,,,pending,,Low,pm10,11.0
57,4,Bob Williams,3,Centar,factory,41.98600303437666,21.43320082590577,2023-10-20 20:47:29,2023-10-27 09:53:47,2023-10-28 18:39:58,,in_progress,,Low,pm10,11.0
58,4,Bob Williams,5,Kapishtec,factory,41.968442209142246,21.48955098848758,2023-09-12 07:19:57,2023-10-12 14:15:24,2023-10-20 23:47:53,2023-10-25 07:40:25,completed,warning,Low,pm10,23.0
59,2,Alice Doe,5,Kapishtec,household,41.97111766486478,21.49776398134614,2023-10-19 13:13:17,2023-10-25 13:11:21,2023-10-25 18:54:59,2023-10-28 15:06:39,completed,warning,Low,pm10,9.0
60,5,Michael Moore,2,Aerodrom,household,41.98986505856573,21.45677388978228,2023-09-08 19:00:16,2023-10-23 06:49:26,2023-10-23 09:02:28,,in_progress,,Low,pm10,10.0
61,2,Alice Doe,3,Centar,household,41.9957918337284,21.43534954623533,2023-10-18 09:04:26,2023-10-28 05:01:01,2023-10-28 06:35:07,2023-10-28 20:57:42,completed,declined,Low,pm10,12.0
62,5,Michael Moore,2,Aerodrom,factory,41.99703365594155,21.451250014791885,2023-08-05 20:14:23,2023-10-27 17:08:13,2023-10-27 22:35:42,,in_progress,,Low,pm10,8.0
63,2,Alice Doe,2,Aerodrom,household,41.99955955402861,21.45612802820817,2023-09-19 19:03:08,2023-10-28 16:01:32,,,pending,,Low,pm10,13.0
64,5,Michael Moore,5,Kapishtec,household,41.97726880476816,21.48959928000887,2023-10-10 19:19:40,2023-10-14 14:45:05,2023-10-24 02:47:56,,in_progress,,Low,pm10,12.0
65,5,Michael Moore,2,Aerodrom,factory,41.98821077270788,21.44761031046789,2023-10-04 18:27:41,2023-10-22 03:35:52,2023-10-26 21:22:35,,in_progress,,Low,pm10,6.0
66,2,Alice Doe,1,Karposh,other,42.00827074944859,21.404057499335547,2023-08-17 15:12:08,2023-09-01 04:47:03,2023-09-26 01:46:57,,in_progress,,Low,pm10,14.0
67,4,Bob Williams,5,Kapishtec,household,41.977407476737554,21.48420569760424,2023-08-23 17:35:15,2023-10-05 18:18:51,2023-10-07 15:26:51,,in_progress,,Low,pm10,13.0
68,4,Bob Williams,2,Aerodrom,factory,41.99278306021149,21.446679356591694,2023-10-26 05:12:30,2023-10-27 06:09:38,,,pending,,Medium,pm10,34.0
69,1,John Doe,5,Kapishtec,factory,41.98329530680378,21.489869163871944,2023-09-26 17:07:39,2023-09-28 20:15:48,,,pending,,Low,pm10,11.0
70,2,Alice Doe,5,Kapishtec,household,41.97084896042376,21.49701829452678,2023-10-13 07:33:51,2023-10-25 20:32:34,,,pending,,Low,pm10,13.0
71,1,John Doe,3,Centar,household,41.98375441218014,21.425601222032945,2023-08-17 18:27:41,2023-10-15 05:20:28,,,pending,,Low,pm10,11.0
72,3,Charlie Johnson,5,Kapishtec,other,41.9695681196086,21.48563727962193,2023-10-13 00:28:43,2023-10-20 10:56:47,2023-10-21 00:57:03,,in_progress,,Low,pm10,10.0
73,3,Charlie Johnson,3,Centar,other,41.98453544601336,21.43709186301956,2023-08-21 14:51:48,2023-10-10 19:02:15,,,pending,,Low,pm10,10.0
74,5,Michael Moore,4,Gjorche,factory,42.00862147979077,21.40231428106361,2023-08-23 13:27:31,2023-09-28 09:57:08,2023-10-26 06:49:40,2023-10-27 06:41:36,completed,warning,Low,pm10,12.0
75,5,Michael Moore,4,Gjorche,factory,42.00281208510075,21.405043452340884,2023-09-04 22:51:11,2023-09-06 01:34:35,2023-10-12 20:27:48,2023-10-20 12:30:14,completed,other,Low,pm10,20.0
76,1,John Doe,3,Centar,other,41.99300531454134,21.431017809369617,2023-09-20 20:50:45,2023-10-05 12:52:09,2023-10-23 01:54:42,2023-10-24 23:49:12,completed,warning,Low,pm10,6.0
77,5,Michael Moore,2,Aerodrom,other,42.000496026896535,21.454095763997795,2023-08-02 00:58:58,2023-10-18 19:06:15,2023-10-20 12:32:52,2023-10-26 11:05:54,completed,other,Low,pm10,10.0
78,3,Charlie Johnson,5,Kapishtec,other,41.970393770949,21.49443087881666,2023-09-17 09:05:29,2023-10-21 05:21:53,2023-10-25 00:59:00,,in_progress,,Low,pm10,13.0
79,1,John Doe,1,Karposh,household,42.00527665376601,21.40046363218875,2023-08-07 02:54:49,2023-08-16 20:12:54,,,pending,,Low,pm10,9.0
80,5,Michael Moore,2,Aerodrom,other,41.99519452831227,21.4475758867114,2023-10-14 17:05:52,2023-10-18 15:32:47,2023-10-20 09:04:16,2023-10-26 08:23:22,completed,fine,Low,pm10,11.0
81,1,John Doe,5,Kapishtec,other,41.97393267407152,21.49290805697175,2023-10-19 14:49:13,2023-10-24 19:11:32,,,pending,,Low,pm10,12.0
82,1,John Doe,5,Kapishtec,factory,41.96975965207127,21.491231697303103,2023-09-01 00:31:14,2023-10-24 07:56:50,,,pending,,Low,pm10,14.0
83,5,Michael Moore,1,Karposh,other,41.99557576878166,21.406734098355944,2023-08-01 20:44:35,2023-10-24 00:47:37,2023-10-27 15:22:19,2023-10-28 17:58:38,completed,fine,Low,pm10,14.0
84,1,John Doe,5,Kapishtec,household,41.97280888106701,21.48420453534605,2023-09-22 15:36:07,2023-10-06 14:05:38,2023-10-15 08:25:37,,in_progress,,Low,pm10,14.0
85,1,John Doe,2,Aerodrom,factory,41.98860022718757,21.449080605682028,2023-09-09 20:30:39,2023-09-25 13:05:08,2023-10-15 08:42:34,2023-10-28 02:05:56,completed,warning,Low,pm10,13.0
86,5,Michael Moore,2,Aerodrom,factory,41.99474369402703,21.44570004291039,2023-08-24 04:24:24,2023-10-12 01:16:12,2023-10-12 22:31:48,2023-10-24 01:53:38,completed,declined,Low,pm10,17.0
87,5,Michael Moore,4,Gjorche,household,42.01018776864636,21.39920130326904,2023-08-21 04:42:24,2023-09-24 23:11:08,,,pending,,Low,pm10,20.0
88,3,Charlie Johnson,1,Karposh,factory,41.99902195761968,21.40440028065277,2023-09-17 21:18:12,2023-09-30 05:39:34,2023-10-12 06:43:36,2023-10-27 19:16:58,completed,fine,Low,pm10,20.0
89,2,Alice Doe,5,Kapishtec,factory,41.97598579417366,21.495474926040394,2023-08-21 13:30:04,2023-09-16 14:26:57,,,pending,,Low,pm10,11.0
90,5,Michael Moore,5,Kapishtec,other,41.97744959842192,21.49505868884669,2023-10-01 06:27:46,2023-10-11 17:13:56,,,pending,,Low,pm10,10.0
91,5,Michael Moore,5,Kapishtec,factory,41.96991895272456,21.492184402558703,2023-10-23 15:09:51,2023-10-26 02:12:31,2023-10-28 13:03:17,,in_progress,,Low,pm10,11.0
92,5,Michael Moore,1,Karposh,household,42.011952360166426,21.406143396582817,2023-10-07 01:18:54,2023-10-21 10:30:08,,,pending,,Low,pm10,13.0
93,2,Alice Doe,4,Gjorche,factory,42.00126415866936,21.39682122722936,2023-08-30 20:36:58,2023-09-24 17:57:32,2023-10-07 17:36:49,2023-10-27 21:53:41,completed,fine,Low,pm10,14.0
94,2,Alice Doe,5,Kapishtec,household,41.97602683792252,21.497117261028745,2023-09-20 02:35:21,2023-10-14 16:08:01,,,pending,,Low,pm10,12.0
95,3,Charlie Johnson,1,Karposh,factory,41.99876302188347,21.40241544531694,2023-10-28 10:12:12,2023-10-28 16:31:51,2023-10-28 19:35:09,2023-10-28 20:18:24,completed,declined,Low,pm10,9.0
96,1,John Doe,5,Kapishtec,other,41.97573065463291,21.49135900020749,2023-10-13 02:59:12,2023-10-22 15:25:31,,,pending,,Low,pm10,10.0
97,1,John Doe,5,Kapishtec,other,41.96720859955744,21.49292469686063,2023-10-26 07:59:55,2023-10-28 15:52:17,2023-10-28 18:01:32,2023-10-28 19:16:26,completed,warning,Low,pm10,13.0
98,3,Charlie Johnson,1,Karposh,other,42.00384031547693,21.411910408433272,2023-09-06 00:52:43,2023-09-15 00:46:16,2023-10-06 22:19:53,,in_progress,,Low,pm10,15.0
99,1,John Doe,4,Gjorche,household,42.009128246659294,21.39597728421464,2023-09-09 09:26:55,2023-10-09 04:12:59,2023-10-12 02:15:25,,in_progress,,Low,pm10,8.0
100,1,John Doe,2,Aerodrom,factory,41.99169595438909,21.445370244325822,2023-09-09 03:00:48,2023-09-10 23:05:06,,,pending,,Low,pm10,14.0
101,2,Alice Doe,2,Aerodrom,other,41.997128484369846,21.455693630283445,2023-09-15 01:50:43,2023-10-02 12:02:54,,,pending,,Low,pm10,13.0
102,4,Bob Williams,1,Karposh,factory,42.00836848114916,21.403945720317296,2023-09-24 20:51:27,2023-10-27 11:06:30,2023-10-27 20:01:17,,in_progress,,Low,pm10,19.0
103,5,Michael Moore,2,Aerodrom,factory,41.995354687917306,21.44927809754351,2023-10-20 05:55:08,2023-10-23 03:02:50,2023-10-27 09:27:01,,in_progress,,Low,pm10,11.0
104,5,Michael Moore,3,Centar,household,41.9952496349084,21.42609620334998,2023-08-03 04:46:30,2023-08-31 02:52:55,2023-09-29 08:53:18,2023-10-12 07:32:50,completed,declined,Low,pm10,11.0
105,2,Alice Doe,1,Karposh,factory,41.99714969348364,21.40850840150243,2023-08-09 23:38:21,2023-09-03 20:53:28,,,pending,,Low,pm10,13.0
106,4,Bob Williams,4,Gjorche,household,42.00972303313353,21.398049579079835,2023-10-10 08:15:10,2023-10-10 08:30:30,,,pending,,Low,pm10,20.0
107,4,Bob Williams,4,Gjorche,household,41.99988094551308,21.403366269565087,2023-08-18 21:00:48,2023-08-24 10:08:05,2023-09-05 14:25:54,2023-10-17 11:55:00,completed,fine,Low,pm10,17.0
108,5,Michael Moore,5,Kapishtec,other,41.969992176977065,21.48511431952245,2023-10-22 10:43:29,2023-10-24 20:20:32,2023-10-28 11:52:49,2023-10-28 12:46:43,completed,fine,Low,pm10,12.0
109,5,Michael Moore,5,Kapishtec,other,41.978083045613374,21.48933322761051,2023-08-19 03:40:59,2023-09-10 13:52:52,2023-10-15 15:44:44,,in_progress,,Low,pm10,12.0
110,5,Michael Moore,1,Karposh,other,42.01075031040938,21.40547936176178,2023-09-01 07:14:27,2023-10-09 05:24:22,2023-10-26 05:29:43,,in_progress,,Low,pm10,10.0
111,3,Charlie Johnson,3,Centar,household,41.99232952102457,21.437195294887136,2023-09-10 13:13:43,2023-09-15 16:01:00,,,pending,,Low,pm10,15.0
112,4,Bob Williams,2,Aerodrom,household,41.98686966171625,21.45085777395693,2023-10-28 16:13:12,2023-10-28 20:20:18,2023-10-28 20:30:05,2023-10-28 20:39:02,completed,warning,Low,pm10,9.0
113,5,Michael Moore,3,Centar,factory,41.98915022038649,21.42348303246724,2023-10-13 00:37:15,2023-10-18 00:02:22,,,pending,,Low,pm10,13.0
114,2,Alice Doe,5,Kapishtec,other,41.97235175706277,21.48292286965347,2023-08-01 08:34:58,2023-10-12 15:39:36,2023-10-20 15:00:30,,in_progress,,Low,pm10,17.0
115,1,John Doe,5,Kapishtec,factory,41.97647139204318,21.490789835476917,2023-08-16 03:48:03,2023-09-30 02:21:41,2023-10-23 02:21:10,2023-10-23 13:49:09,completed,other,Low,pm10,13.0
116,5,Michael Moore,2,Aerodrom,factory,41.9907850917342,21.44479442779034,2023-08-24 09:39:06,2023-09-19 17:48:04,,,pending,,Low,pm10,12.0
117,2,Alice Doe,3,Centar,factory,41.99645754423842,21.43400572485299,2023-09-24 20:18:54,2023-10-21 06:33:09,2023-10-23 12:52:53,2023-10-26 15:56:06,completed,warning,Low,pm10,12.0
118,1,John Doe,4,Gjorche,other,42.00396320647138,21.393115276217124,2023-09-25 07:01:07,2023-10-26 20:07:08,,,pending,,Low,pm10,21.0
119,2,Alice Doe,5,Kapishtec,other,41.97733043784523,21.485762635541903,2023-10-05 12:26:05,2023-10-15 01:38:37,2023-10-27 22:57:47,,in_progress,,Low,pm10,13.0
120,4,Bob Williams,2,Aerodrom,other,41.9980000548174,21.457531790099303,2023-09-28 00:53:30,2023-10-23 23:19:52,2023-10-27 14:00:55,2023-10-27 16:49:26,completed,warning,Low,pm10,10.0
121,4,Bob Williams,3,Centar,other,41.983691520042456,21.429758355972247,2023-08-22 18:13:51,2023-10-20 21:31:53,2023-10-21 05:31:48,,in_progress,,Low,pm10,11.0
122,2,Alice Doe,3,Centar,household,41.98944087239319,21.431037063496703,2023-10-08 22:52:33,2023-10-19 02:03:43,,,pending,,Low,pm10,10.0
123,5,Michael Moore,2,Aerodrom,other,41.992057823051056,21.454749202766106,2023-10-11 03:09:50,2023-10-28 08:09:36,2023-10-28 18:15:02,2023-10-28 18:57:09,completed,fine,Low,pm10,10.0
124,3,Charlie Johnson,5,Kapishtec,factory,41.97806436439687,21.491746541518527,2023-08-11 19:44:30,2023-09-11 05:32:51,2023-10-26 18:24:15,2023-10-26 20:51:36,completed,other,Low,pm10,12.0
125,4,Bob Williams,5,Kapishtec,household,41.97618588214054,21.49225091441724,2023-08-23 12:27:32,2023-09-10 16:03:24,2023-10-07 21:11:31,2023-10-09 23:26:27,completed,warning,Low,pm10,8.0
126,5,Michael Moore,2,Aerodrom,other,41.993405975183904,21.450299213663,2023-08-03 14:34:09,2023-10-03 10:12:32,,,pending,,Low,pm10,17.0
127,3,Charlie Johnson,3,Centar,household,41.98941263734716,21.42405190663683,2023-08-27 02:38:01,2023-10-20 03:24:42,2023-10-22 15:44:50,2023-10-24 11:15:31,completed,warning,Low,pm10,11.0
128,5,Michael Moore,3,Centar,household,41.99141880017061,21.43890973846601,2023-09-24 05:00:56,2023-10-16 03:16:57,2023-10-16 22:53:58,,in_progress,,Low,pm10,11.0
129,5,Michael Moore,1,Karposh,household,41.99496954678812,21.4084228805392,2023-08-26 20:44:46,2023-09-22 17:55:12,2023-10-02 17:12:29,,in_progress,,Low,pm10,20.0
130,1,John Doe,3,Centar,household,41.99560491015774,21.431040427088924,2023-10-20 04:46:02,2023-10-27 21:51:41,2023-10-27 22:40:06,,in_progress,,Low,pm10,6.0
131,3,Charlie Johnson,4,Gjorche,factory,42.00361990731766,21.409251225152605,2023-10-11 09:21:33,2023-10-20 14:30:59,2023-10-25 00:01:47,,in_progress,,Low,pm10,10.0
132,4,Bob Williams,4,Gjorche,household,42.00300018913103,21.4040000852914,2023-10-01 17:42:46,2023-10-20 09:56:39,2023-10-24 17:03:48,,in_progress,,Low,pm10,7.0
133,2,Alice Doe,5,Kapishtec,factory,41.97645916257994,21.485902827441425,2023-08-05 08:51:35,2023-08-13 05:51:58,2023-09-21 22:17:55,2023-09-29 08:05:46,completed,fine,Low,pm10,10.0
134,3,Charlie Johnson,4,Gjorche,household,41.99394274956438,21.39819321291941,2023-10-02 15:38:29,2023-10-20 09:26:29,2023-10-25 10:10:31,,in_progress,,Low,pm10,11.0
135,2,Alice Doe,2,Aerodrom,household,41.993857264156325,21.45486922315725,2023-10-23 05:53:37,2023-10-26 11:34:49,2023-10-28 18:20:34,,in_progress,,Low,pm10,14.0
136,3,Charlie Johnson,5,Kapishtec,household,41.96689099592509,21.490165644158008,2023-08-15 09:41:40,2023-09-04 16:40:13,,,pending,,Low,pm10,13.0
137,3,Charlie Johnson,5,Kapishtec,household,41.9812828621365,21.49359119461288,2023-09-22 17:00:51,2023-10-09 09:21:10,2023-10-23 23:16:23,2023-10-25 11:08:04,completed,other,Low,pm10,13.0
138,4,Bob Williams,2,Aerodrom,other,41.98895157893693,21.45152461053564,2023-10-04 20:02:18,2023-10-07 14:57:24,,,pending,,Low,pm10,12.0
139,5,Michael Moore,2,Aerodrom,other,41.991120637733424,21.449667512989528,2023-10-24 10:37:25,2023-10-25 09:35:56,2023-10-28 14:26:13,,in_progress,,Low,pm10,11.0
140,2,Alice Doe,1,Karposh,household,42.00750441417354,21.40922107446646,2023-09-05 16:20:47,2023-10-05 04:46:15,2023-10-07 11:09:14,2023-10-25 17:16:41,completed,declined,Low,pm10,5.0
141,5,Michael Moore,2,Aerodrom,factory,42.00125248433807,21.44705030489713,2023-09-18 17:16:20,2023-09-19 17:13:00,2023-10-17 11:08:30,,in_progress,,Low,pm10,11.0
142,3,Charlie Johnson,4,Gjorche,household,42.00144493238822,21.39624094721431,2023-09-30 21:43:56,2023-10-06 06:12:09,,,pending,,Low,pm10,26.0
143,4,Bob Williams,3,Centar,household,41.99601126250613,21.43352267769268,2023-08-15 07:29:41,2023-08-31 13:32:52,,,pending,,Low,pm10,11.0
144,2,Alice Doe,3,Centar,household,41.98240627895964,21.430327641404663,2023-08-16 14:01:04,2023-10-07 11:40:46,2023-10-17 21:01:55,,in_progress,,Low,pm10,8.0
145,2,Alice Doe,4,Gjorche,other,42.00449523706198,21.394028881271016,2023-08-05 21:56:41,2023-08-20 07:02:30,2023-09-02 16:11:35,,in_progress,,Low,pm10,15.0
146,3,Charlie Johnson,1,Karposh,other,41.9961048421642,21.4079506036968,2023-09-21 04:51:02,2023-09-27 03:12:25,2023-10-26 14:10:42,,in_progress,,Low,pm10,20.0
